iter	Passed	Remaining
902	36448	3915
903	36487	3874
904	36528	3834
905	36585	3795
906	36622	3755
907	36659	3714
908	36694	3673
909	36737	3633
910	36779	3593
911	36817	3552
912	36857	3512
913	36895	3471
914	36936	3431
915	36976	3390
916	37016	3350
917	37053	3309
918	37094	3269
919	37138	3229
920	37179	3189
921	37220	3148
922	37262	3108
923	37303	3068
924	37347	3028
925	37393	2988
926	37441	2948
927	37485	2908
928	37524	2867
929	37566	2827
930	37606	2787
931	37652	2747
932	37699	2707
933	37743	2667
934	37789	2627
935	37830	2586
936	37884	2547
937	37931	2507
938	37979	2467
939	38026	2427
940	38077	2387
941	38134	2348
942	38186	2308
943	38241	2268
944	38283	2228
945	38332	2188
946	38377	2147
947	38423	2107
948	38465	2067
949	38508	2026
950	38555	1986
951	38623	1947
952	38675	1907
953	38731	1867
954	38784	1827
955	38836	1787
956	38890	1747
957	38938	1707
958	38984	1666
959	39031	1626
960	39084	1586
961	39138	1546
962	39196	1505
963	39244	1465
964	39295	1425
965	39348	1384
966	39396	1344
967	39446	1304
968	39496	1263
969	39539	1222
970	39577	1182
971	39622	1141
972	39665	1100
973	39710	1060
974	39751	1019
975	39794	978
976	39834	937
977	39871	896
978	39908	856
979	39943	815
980	39984	774
981	40034	733
982	40075	693
983	40117	652
984	40166	611
985	40207	570
986	40248	530
987	40287	489
988	40325	448
989	40371	407
990	40411	367
991	40448	326
992	40485	285
993	40525	244
994	40566	203
995	40602	163
996	40645	122
997	40683	81
998	40721	40
999	40759	0
